address,amount,points
0x17d115462100923BFfe52FDf32C2de22AC065BD2,3567601843051963896869,1815.649760034664
0x146608b84Af2F948D3042cA1A53bE5B1b3ffc940,3513305668935734502156,1788.016957989524
0x49EAe62f104a3a570f5A06C69cEAbf1023333333,3509149820502957936696,1785.9019335160372
0xC37Ef10632F8d4F7c06a95fC14a8b7a246b9c660,3477021957745268082363,1769.551188989982
0xEF3555A74bd2f6246c77c8c51c6d23Bc671168CB,3471307805196342087584,1766.643101103307
0xd22286b7Dd3488612a33CE69e2599b65521564aE,3433584768040764174657,1747.444819912626
0xa4dFaD80a6134e4a551a0CF9b146F23C05080614,3396123319996833288315,1728.3796685465957
0xb6d17997Af674EF938BB3ead45bcbb54284A9a9F,3387413440175449068192,1723.9469734468255
0x2E3B324fA334FD0588DE072a66a3D4D22A9ac24A,3385345603415071764175,1722.8945949912304
0xACc7D2bf7fFad86541fb5C0975E561dCFa4a51e0,3378645637836407331633,1719.4848
0xB8E21aa9C651599Bc3AFfbe69693db081e19936D,3347249075174858717219,1703.506234013615
0x7239e9b906A7637B1d34Ff6aA6867A30962741DF,3344979618641053093597,1702.351245763164
0xa0170b6935fef8fF2c514703Fcb2C597a9BC2076,3339823214143848872482,1699.7270110531658
0x138C0EF538fFA3BAb0d0dd9fF380bffa58D96fCD,3243864789553342689032,1650.8911548545907
0xC59E006C3dd527A2dDBB84D178166a13929C9210,3195922100846729790646,1626.491814604471
0x5217Fd1D843022521BEdD89256357179cbce7Ed6,3173108577977507593459,1614.881391371924
0xFF36da79cf472A3d0D60f95561ADCE920514630F,3152117371504501534218,1604.1983945936322
0xeEfA41FE64f28526123a92Afe87827B6F6F4c2A6,3139388185261715534580,1597.7201649693927
0x9DF84d7ca83D54DE2ce3b1A42089a95F0eA9a629,3124863496658546864637,1590.3281552841524
0x8b309b701C481a36a8095c9964417B2Ba6186c61,3117964883920080410462,1586.817263342115
0x52057137f724E93eeD53E05315bb9108149E50E9,3100764227929972548736,1578.0633809598362
0x055A5F825cFaF545f0AFec1abff8A5A272Fd6b5c,3097714046061742465099,1576.5110603196
0x7f37747bDcd93F99441A04363947E41461C25348,3067727942955747948872,1561.2503156222044
0x79ec3a2B72f45a56105dB95Cbf50C0C003E5F3f0,3062445848432674210926,1558.5621138342228
0x73C58A622bf3884745AddC400941EECCD937035c,3031160083759844837914,1542.639935962454
0xaA15b1D6ec8212dB5A18230D4324273230493375,2996108446965201437706,1524.8012031848712
0x910a5085c2efF2939B4063C0516B471973145E94,2980603908181371025421,1516.9105210513997
0xA7dA9F3D1a7b8689206329168d7645D53995c0e3,2963642863855582163524,1508.278583572157
0xbb2cD4a85B837Da48A6F5585fB1Dbc2573e8ecaf,2946147982487504577875,1499.3749618802779
0x58e936c08dFccEB8FA29f355d1dDBd4b17818A8B,2888226797770777466212,1469.8972931946141
0xcdc42Ba2ce72250117Abe67caE3Da33456578ff8,2872934691199051030708,1462.1147236005734
0x77310744BB0f81CD6Ee0855f408F0563Cf333333,2868911408015987035469,1460.0671651937664
